,Combination,B_I,Ker Len,Duplicate Elem Vect,Duplicate
73,"(0, 1, 4, 23)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 0, 1, 1]])",1,[0 0 1 0 0],1
74,"(0, 1, 4, 24)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 1, 1, 1]])",1,[0 0 -1 1 0],1
75,"(0, 1, 4, 25)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 1, 1, 0]])",1,[0 0 -1 1 0],1
76,"(0, 1, 4, 26)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 1, 0, 1]])",1,[0 0 0 1 0],1
77,"(0, 1, 4, 27)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 0, 1, 1]])",1,[0 0 1 0 0],1
78,"(0, 1, 4, 28)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 1, 1, 1]])",1,[0 0 -1 1 0],1
79,"(0, 1, 4, 29)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 1, 1, 1]])",1,[0 0 -1 1 0],1
80,"(0, 1, 4, 30)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 1, 1, 1]])",1,[0 0 -1 1 0],1
106,"(0, 1, 6, 7)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 0]])",1,[0 0 0 0 1],1
107,"(0, 1, 6, 8)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 0, 1]])",1,[0 0 0 1 0],1
109,"(0, 1, 6, 10)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 1, 0, 1, 0]])",1,[0 0 0 0 1],1
110,"(0, 1, 6, 11)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 1, 0, 0, 1]])",1,[0 0 0 1 0],1
111,"(0, 1, 6, 12)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 0, 1, 1, 0]])",1,[0 0 0 0 1],1
112,"(0, 1, 6, 13)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 0, 1, 0, 1]])",1,[0 0 0 1 0],1
113,"(0, 1, 6, 14)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 0, 0, 1, 1]])",1,[0 0 0 -1 1],1
115,"(0, 1, 6, 16)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 1, 0, 1, 0]])",1,[0 0 0 0 1],1
116,"(0, 1, 6, 17)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 1, 0, 0, 1]])",1,[0 0 0 1 0],1
117,"(0, 1, 6, 18)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 0, 1, 1, 0]])",1,[0 0 0 0 1],1
118,"(0, 1, 6, 19)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 0, 1, 0, 1]])",1,[0 0 0 1 0],1
119,"(0, 1, 6, 20)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 0, 0, 1, 1]])",1,[0 0 0 -1 1],1
120,"(0, 1, 6, 21)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 1, 1, 1, 0]])",1,[0 0 0 0 1],1
121,"(0, 1, 6, 22)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 1, 1, 0, 1]])",1,[0 0 0 1 0],1
122,"(0, 1, 6, 23)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 1, 0, 1, 1]])",1,[0 0 0 -1 1],1
123,"(0, 1, 6, 24)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 0, 1, 1, 1]])",1,[0 0 0 -1 1],1
124,"(0, 1, 6, 25)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 1, 1, 1, 0]])",1,[0 0 0 0 1],1
125,"(0, 1, 6, 26)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 1, 1, 0, 1]])",1,[0 0 0 1 0],1
126,"(0, 1, 6, 27)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 1, 0, 1, 1]])",1,[0 0 0 -1 1],1
127,"(0, 1, 6, 28)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 0, 1, 1, 1]])",1,[0 0 0 -1 1],1
128,"(0, 1, 6, 29)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [0, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
129,"(0, 1, 6, 30)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 1, 0, 0], [1, 1, 1, 1, 1]])",1,[0 0 0 -1 1],1
130,"(0, 1, 7, 8)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 0, 0, 0, 1]])",1,[0 0 1 0 0],1
131,"(0, 1, 7, 9)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 1, 1, 0, 0]])",1,[0 0 0 0 1],1
133,"(0, 1, 7, 11)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 1, 0, 0, 1]])",1,[0 0 1 0 0],1
134,"(0, 1, 7, 12)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 0, 1, 1, 0]])",1,[0 0 0 0 1],1
135,"(0, 1, 7, 13)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 0, 1, 0, 1]])",1,[0 0 -1 0 1],1
136,"(0, 1, 7, 14)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 0, 0, 1, 1]])",1,[0 0 1 0 0],1
137,"(0, 1, 7, 15)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 0, 0]])",1,[0 0 0 0 1],1
139,"(0, 1, 7, 17)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 0, 0, 1]])",1,[0 0 1 0 0],1
140,"(0, 1, 7, 18)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 0, 1, 1, 0]])",1,[0 0 0 0 1],1
141,"(0, 1, 7, 19)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 0, 1, 0, 1]])",1,[0 0 -1 0 1],1
142,"(0, 1, 7, 20)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 0, 0, 1, 1]])",1,[0 0 1 0 0],1
143,"(0, 1, 7, 21)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 1, 1, 1, 0]])",1,[0 0 0 0 1],1
144,"(0, 1, 7, 22)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 1, 1, 0, 1]])",1,[0 0 -1 0 1],1
145,"(0, 1, 7, 23)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 1, 0, 1, 1]])",1,[0 0 1 0 0],1
146,"(0, 1, 7, 24)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 0, 1, 1, 1]])",1,[0 0 -1 0 1],1
147,"(0, 1, 7, 25)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 1, 0]])",1,[0 0 0 0 1],1
148,"(0, 1, 7, 26)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 0, 1]])",1,[0 0 -1 0 1],1
149,"(0, 1, 7, 27)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 0, 1, 1]])",1,[0 0 1 0 0],1
150,"(0, 1, 7, 28)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 0, 1, 1, 1]])",1,[0 0 -1 0 1],1
151,"(0, 1, 7, 29)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 1, 1, 1, 1]])",1,[0 0 -1 0 1],1
152,"(0, 1, 7, 30)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 1, 1]])",1,[0 0 -1 0 1],1
153,"(0, 1, 8, 9)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0]])",1,[0 0 0 1 0],1
154,"(0, 1, 8, 10)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0]])",1,[0 0 1 0 0],1
156,"(0, 1, 8, 12)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0]])",1,[0 0 -1 1 0],1
157,"(0, 1, 8, 13)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1]])",1,[0 0 0 1 0],1
158,"(0, 1, 8, 14)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0, 1, 1]])",1,[0 0 1 0 0],1
159,"(0, 1, 8, 15)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [1, 1, 1, 0, 0]])",1,[0 0 0 1 0],1
160,"(0, 1, 8, 16)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [1, 1, 0, 1, 0]])",1,[0 0 1 0 0],1
162,"(0, 1, 8, 18)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 1, 1, 0]])",1,[0 0 -1 1 0],1
