,Combination,B_I,Ker Len,Elementary Vector,Duplicate,Group
17020,"(5, 7, 23, 28)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 1, 0, 1, 1], [1, 0, 1, 1, 1]])",1,"(1, -1, -2, -1, 2)",1,444.0
17021,"(5, 7, 23, 29)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 1, 0, 1, 1], [0, 1, 1, 1, 1]])",1,"(1, -1, 0, -1, 2)",1,468.0
17022,"(5, 7, 23, 30)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 1, 0, 1, 1], [1, 1, 1, 1, 1]])",1,"(1, -1, -1, -1, 2)",1,456.0
17023,"(5, 7, 24, 25)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 0, 1, 1, 1], [1, 1, 1, 1, 0]])",1,"(-1, 1, -1, 1, 0)",1,279.0
17024,"(5, 7, 24, 26)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 0, 1, 1, 1], [1, 1, 1, 0, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
17025,"(5, 7, 24, 27)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 0, 1, 1, 1], [1, 1, 0, 1, 1]])",1,"(1, -1, 0, -1, 1)",1,467.0
17026,"(5, 7, 24, 28)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 0, 1, 1, 1], [1, 0, 1, 1, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
17027,"(5, 7, 24, 29)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 0, 1, 1, 1], [0, 1, 1, 1, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
17028,"(5, 7, 24, 30)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 0, 1, 1, 1], [1, 1, 1, 1, 1]])",2,,0,
17029,"(5, 7, 25, 26)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 1, 0], [1, 1, 1, 0, 1]])",1,"(-1, 1, -1, 1, 1)",1,280.0
17030,"(5, 7, 25, 27)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 1, 0], [1, 1, 0, 1, 1]])",1,"(1, -1, 1, -1, 1)",1,476.0
17031,"(5, 7, 25, 28)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 1, 0], [1, 0, 1, 1, 1]])",1,"(-1, 1, -1, 1, 1)",1,280.0
17032,"(5, 7, 25, 29)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 1, 0], [0, 1, 1, 1, 1]])",1,"(1, -1, 1, -1, 1)",1,476.0
17033,"(5, 7, 25, 30)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 1, 0], [1, 1, 1, 1, 1]])",1,"(-1, 1, -1, 1, 0)",1,279.0
17034,"(5, 7, 26, 27)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 0, 1], [1, 1, 0, 1, 1]])",1,"(1, -1, -1, -1, 1)",1,455.0
17035,"(5, 7, 26, 28)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 0, 1], [1, 0, 1, 1, 1]])",2,,0,
17036,"(5, 7, 26, 29)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 0, 1], [0, 1, 1, 1, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
17037,"(5, 7, 26, 30)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 1, 0, 1], [1, 1, 1, 1, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
17038,"(5, 7, 27, 28)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 0, 1, 1], [1, 0, 1, 1, 1]])",1,"(1, -1, -1, -1, 1)",1,455.0
17039,"(5, 7, 27, 29)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 0, 1, 1], [0, 1, 1, 1, 1]])",1,"(1, -1, 1, -1, 1)",1,476.0
17040,"(5, 7, 27, 30)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 1, 0, 1, 1], [1, 1, 1, 1, 1]])",1,"(1, -1, 0, -1, 1)",1,467.0
17041,"(5, 7, 28, 29)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 0, 1, 1, 1], [0, 1, 1, 1, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
17042,"(5, 7, 28, 30)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [1, 0, 1, 1, 1], [1, 1, 1, 1, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
17043,"(5, 7, 29, 30)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 1, 0], [0, 1, 1, 1, 1], [1, 1, 1, 1, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
17044,"(5, 8, 9, 10)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [0, 1, 0, 1, 0]])",1,"(-1, 1, -1, -1, 1)",0,274.0
17045,"(5, 8, 9, 11)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [0, 1, 0, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
17046,"(5, 8, 9, 12)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [0, 0, 1, 1, 0]])",1,"(-1, 1, -1, 1, 1)",1,280.0
17047,"(5, 8, 9, 13)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [0, 0, 1, 0, 1]])",2,,0,
17048,"(5, 8, 9, 14)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [0, 0, 0, 1, 1]])",1,"(-1, 1, -1, -1, 1)",1,274.0
17049,"(5, 8, 9, 15)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [1, 1, 1, 0, 0]])",1,"(0, 0, 0, 1, 0)",1,369.0
17050,"(5, 8, 9, 16)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [1, 1, 0, 1, 0]])",1,"(-1, 1, -1, 0, 1)",1,277.0
17051,"(5, 8, 9, 17)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [1, 1, 0, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
17052,"(5, 8, 9, 18)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [1, 0, 1, 1, 0]])",1,"(-1, 1, -1, 2, 1)",0,283.0
17053,"(5, 8, 9, 19)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [1, 0, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
17054,"(5, 8, 9, 20)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [1, 0, 0, 1, 1]])",1,"(-1, 1, -1, 0, 1)",1,277.0
17055,"(5, 8, 9, 21)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [0, 1, 1, 1, 0]])",1,"(-1, 1, -1, 0, 1)",1,277.0
17056,"(5, 8, 9, 22)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [0, 1, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
17057,"(5, 8, 9, 23)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [0, 1, 0, 1, 1]])",1,"(-1, 1, -1, -2, 1)",0,272.0
17058,"(5, 8, 9, 24)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [0, 0, 1, 1, 1]])",1,"(-1, 1, -1, 0, 1)",1,277.0
17059,"(5, 8, 9, 25)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [1, 1, 1, 1, 0]])",1,"(-1, 1, -1, 1, 1)",1,280.0
17060,"(5, 8, 9, 26)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [1, 1, 1, 0, 1]])",2,,0,
17061,"(5, 8, 9, 27)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [1, 1, 0, 1, 1]])",1,"(-1, 1, -1, -1, 1)",1,274.0
17062,"(5, 8, 9, 28)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [1, 0, 1, 1, 1]])",1,"(-1, 1, -1, 1, 1)",1,280.0
17063,"(5, 8, 9, 29)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [0, 1, 1, 1, 1]])",1,"(-1, 1, -1, -1, 1)",1,274.0
17064,"(5, 8, 9, 30)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 1, 0, 0], [1, 1, 1, 1, 1]])",1,"(-1, 1, -1, 0, 1)",1,277.0
17065,"(5, 8, 10, 11)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 0, 0, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
17066,"(5, 8, 10, 12)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [0, 0, 1, 1, 0]])",1,"(-1, 1, 1, -1, 1)",1,296.0
17067,"(5, 8, 10, 13)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [0, 0, 1, 0, 1]])",1,"(-1, 1, -1, -1, 1)",1,274.0
17068,"(5, 8, 10, 14)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [0, 0, 0, 1, 1]])",2,,0,
17069,"(5, 8, 10, 15)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [1, 1, 1, 0, 0]])",1,"(-1, 1, 0, -1, 1)",1,286.0
17070,"(5, 8, 10, 16)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [1, 1, 0, 1, 0]])",1,"(0, 0, 1, 0, 0)",1,371.0
17071,"(5, 8, 10, 17)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [1, 1, 0, 0, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
17072,"(5, 8, 10, 18)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [1, 0, 1, 1, 0]])",1,"(-1, 1, 2, -1, 1)",0,304.0
17073,"(5, 8, 10, 19)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [1, 0, 1, 0, 1]])",1,"(-1, 1, 0, -1, 1)",1,286.0
17074,"(5, 8, 10, 20)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [1, 0, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
17075,"(5, 8, 10, 21)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 1, 1, 0]])",1,"(-1, 1, 0, -1, 1)",1,286.0
17076,"(5, 8, 10, 22)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 1, 0, 1]])",1,"(-1, 1, -2, -1, 1)",0,262.0
17077,"(5, 8, 10, 23)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
17078,"(5, 8, 10, 24)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [0, 0, 1, 1, 1]])",1,"(-1, 1, 0, -1, 1)",1,286.0
17079,"(5, 8, 10, 25)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [1, 1, 1, 1, 0]])",1,"(-1, 1, 1, -1, 1)",1,296.0
17080,"(5, 8, 10, 26)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [1, 1, 1, 0, 1]])",1,"(-1, 1, -1, -1, 1)",1,274.0
17081,"(5, 8, 10, 27)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [1, 1, 0, 1, 1]])",2,,0,
17082,"(5, 8, 10, 28)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [1, 0, 1, 1, 1]])",1,"(-1, 1, 1, -1, 1)",1,296.0
17083,"(5, 8, 10, 29)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 1, 1, 1]])",1,"(-1, 1, -1, -1, 1)",1,274.0
17084,"(5, 8, 10, 30)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 1, 0], [1, 1, 1, 1, 1]])",1,"(-1, 1, 0, -1, 1)",1,286.0
17085,"(5, 8, 11, 12)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [0, 0, 1, 1, 0]])",1,"(0, 0, -1, 1, 0)",1,365.0
17086,"(5, 8, 11, 13)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [0, 0, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
17087,"(5, 8, 11, 14)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [0, 0, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
17088,"(5, 8, 11, 15)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 1, 0, 0]])",1,"(0, 0, 0, 1, 0)",1,369.0
17089,"(5, 8, 11, 16)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 0, 1, 0]])",1,"(0, 0, 1, 0, 0)",1,371.0
17090,"(5, 8, 11, 17)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 0, 0, 1]])",2,,0,
17091,"(5, 8, 11, 18)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 0, 1, 1, 0]])",1,"(0, 0, -1, 1, 0)",1,365.0
17092,"(5, 8, 11, 19)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 0, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
17093,"(5, 8, 11, 20)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 0, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
17094,"(5, 8, 11, 21)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [0, 1, 1, 1, 0]])",1,"(0, 0, -1, 1, 0)",1,365.0
17095,"(5, 8, 11, 22)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [0, 1, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
17096,"(5, 8, 11, 23)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [0, 1, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
17097,"(5, 8, 11, 24)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [0, 0, 1, 1, 1]])",1,"(0, 0, -1, 1, 0)",1,365.0
17098,"(5, 8, 11, 25)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 1, 1, 0]])",1,"(0, 0, -1, 1, 0)",1,365.0
17099,"(5, 8, 11, 26)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
17100,"(5, 8, 11, 27)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
17101,"(5, 8, 11, 28)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 0, 1, 1, 1]])",1,"(0, 0, -1, 1, 0)",1,365.0
17102,"(5, 8, 11, 29)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [0, 1, 1, 1, 1]])",1,"(0, 0, -1, 1, 0)",1,365.0
17103,"(5, 8, 11, 30)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 1, 0, 0, 1], [1, 1, 1, 1, 1]])",1,"(0, 0, -1, 1, 0)",1,365.0
17104,"(5, 8, 12, 13)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [0, 0, 1, 0, 1]])",1,"(-1, 1, -1, 1, 1)",1,280.0
17105,"(5, 8, 12, 14)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [0, 0, 0, 1, 1]])",1,"(-1, 1, 1, -1, 1)",1,296.0
17106,"(5, 8, 12, 15)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [1, 1, 1, 0, 0]])",1,"(-1, 1, 0, 0, 1)",1,289.0
17107,"(5, 8, 12, 16)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [1, 1, 0, 1, 0]])",1,"(-1, 1, 0, 0, 1)",1,289.0
17108,"(5, 8, 12, 17)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [1, 1, 0, 0, 1]])",1,"(0, 0, -1, 1, 0)",1,365.0
17109,"(5, 8, 12, 18)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [1, 0, 1, 1, 0]])",1,"(0, 0, -1, 1, 0)",1,365.0
17110,"(5, 8, 12, 19)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [1, 0, 1, 0, 1]])",1,"(-1, 1, 0, 0, 1)",1,289.0
17111,"(5, 8, 12, 20)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [1, 0, 0, 1, 1]])",1,"(-1, 1, 0, 0, 1)",1,289.0
17112,"(5, 8, 12, 21)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [0, 1, 1, 1, 0]])",1,"(0, 0, -1, 1, 0)",1,365.0
17113,"(5, 8, 12, 22)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [0, 1, 1, 0, 1]])",1,"(-1, 1, -2, 2, 1)",0,269.0
17114,"(5, 8, 12, 23)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [0, 1, 0, 1, 1]])",1,"(-1, 1, 2, -2, 1)",0,303.0
17115,"(5, 8, 12, 24)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [0, 0, 1, 1, 1]])",1,"(0, 0, -1, 1, 0)",1,365.0
17116,"(5, 8, 12, 25)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [1, 1, 1, 1, 0]])",2,,0,
17117,"(5, 8, 12, 26)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [1, 1, 1, 0, 1]])",1,"(-1, 1, -1, 1, 1)",1,280.0
17118,"(5, 8, 12, 27)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [1, 1, 0, 1, 1]])",1,"(-1, 1, 1, -1, 1)",1,296.0
17119,"(5, 8, 12, 28)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [1, 0, 1, 1, 1]])",2,,0,
17120,"(5, 8, 12, 29)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [0, 1, 1, 1, 1]])",1,"(0, 0, -1, 1, 0)",1,365.0
17121,"(5, 8, 12, 30)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 1, 0], [1, 1, 1, 1, 1]])",1,"(0, 0, -1, 1, 0)",1,365.0
17122,"(5, 8, 13, 14)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [0, 0, 0, 1, 1]])",1,"(-1, 1, -1, -1, 1)",1,274.0
17123,"(5, 8, 13, 15)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [1, 1, 1, 0, 0]])",1,"(0, 0, 0, 1, 0)",1,369.0
17124,"(5, 8, 13, 16)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [1, 1, 0, 1, 0]])",1,"(-1, 1, -1, 0, 1)",1,277.0
17125,"(5, 8, 13, 17)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [1, 1, 0, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
17126,"(5, 8, 13, 18)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [1, 0, 1, 1, 0]])",1,"(-1, 1, -1, 2, 1)",1,283.0
17127,"(5, 8, 13, 19)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [1, 0, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
17128,"(5, 8, 13, 20)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [1, 0, 0, 1, 1]])",1,"(-1, 1, -1, 0, 1)",1,277.0
17129,"(5, 8, 13, 21)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [0, 1, 1, 1, 0]])",1,"(-1, 1, -1, 0, 1)",1,277.0
17130,"(5, 8, 13, 22)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [0, 1, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
17131,"(5, 8, 13, 23)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [0, 1, 0, 1, 1]])",1,"(-1, 1, -1, -2, 1)",1,272.0
17132,"(5, 8, 13, 24)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [0, 0, 1, 1, 1]])",1,"(-1, 1, -1, 0, 1)",1,277.0
17133,"(5, 8, 13, 25)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [1, 1, 1, 1, 0]])",1,"(-1, 1, -1, 1, 1)",1,280.0
17134,"(5, 8, 13, 26)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [1, 1, 1, 0, 1]])",2,,0,
17135,"(5, 8, 13, 27)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [1, 1, 0, 1, 1]])",1,"(-1, 1, -1, -1, 1)",1,274.0
17136,"(5, 8, 13, 28)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [1, 0, 1, 1, 1]])",1,"(-1, 1, -1, 1, 1)",1,280.0
17137,"(5, 8, 13, 29)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [0, 1, 1, 1, 1]])",1,"(-1, 1, -1, -1, 1)",1,274.0
17138,"(5, 8, 13, 30)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0, 1], [1, 1, 1, 1, 1]])",1,"(-1, 1, -1, 0, 1)",1,277.0
17139,"(5, 8, 14, 15)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0, 1, 1], [1, 1, 1, 0, 0]])",1,"(-1, 1, 0, -1, 1)",1,286.0
17140,"(5, 8, 14, 16)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0, 1, 1], [1, 1, 0, 1, 0]])",1,"(0, 0, 1, 0, 0)",1,371.0
17141,"(5, 8, 14, 17)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0, 1, 1], [1, 1, 0, 0, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
17142,"(5, 8, 14, 18)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0, 1, 1], [1, 0, 1, 1, 0]])",1,"(-1, 1, 2, -1, 1)",1,304.0
17143,"(5, 8, 14, 19)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0, 1, 1], [1, 0, 1, 0, 1]])",1,"(-1, 1, 0, -1, 1)",1,286.0
17144,"(5, 8, 14, 20)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0, 1, 1], [1, 0, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
17145,"(5, 8, 14, 21)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0, 1, 1], [0, 1, 1, 1, 0]])",1,"(-1, 1, 0, -1, 1)",1,286.0
17146,"(5, 8, 14, 22)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0, 1, 1], [0, 1, 1, 0, 1]])",1,"(-1, 1, -2, -1, 1)",1,262.0
17147,"(5, 8, 14, 23)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0, 1, 1], [0, 1, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
17148,"(5, 8, 14, 24)","Matrix([[1, 1, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0, 1, 1], [0, 0, 1, 1, 1]])",1,"(-1, 1, 0, -1, 1)",1,286.0
