,Combination,B_I,Ker Len,Elementary Vector,Duplicate,Group
53,"(0, 1, 3, 29)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [0, 1, 1, 1, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
54,"(0, 1, 3, 30)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 1, 0], [1, 1, 1, 1, 1]])",1,"(0, 0, -1, 0, 1)",1,364.0
55,"(0, 1, 4, 5)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 0, 0, 0]])",2,,0,
56,"(0, 1, 4, 6)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 1, 0, 0]])",1,"(0, 0, 0, 1, 0)",1,369.0
57,"(0, 1, 4, 7)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 0, 1, 0]])",1,"(0, 0, 1, 0, 0)",1,371.0
58,"(0, 1, 4, 8)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 0, 0, 1]])",2,,0,
59,"(0, 1, 4, 9)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 1, 0, 0]])",1,"(0, 0, 0, 1, 0)",1,369.0
60,"(0, 1, 4, 10)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 0, 1, 0]])",1,"(0, 0, 1, 0, 0)",1,371.0
61,"(0, 1, 4, 11)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 0, 0, 1]])",2,,0,
62,"(0, 1, 4, 12)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 1, 1, 0]])",1,"(0, 0, -1, 1, 0)",0,365.0
63,"(0, 1, 4, 13)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
64,"(0, 1, 4, 14)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
65,"(0, 1, 4, 15)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 1, 0, 0]])",1,"(0, 0, 0, 1, 0)",1,369.0
66,"(0, 1, 4, 16)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 0, 1, 0]])",1,"(0, 0, 1, 0, 0)",1,371.0
67,"(0, 1, 4, 17)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1]])",2,,0,
68,"(0, 1, 4, 18)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 1, 1, 0]])",1,"(0, 0, -1, 1, 0)",1,365.0
69,"(0, 1, 4, 19)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
70,"(0, 1, 4, 20)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 0, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
71,"(0, 1, 4, 21)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 1, 1, 0]])",1,"(0, 0, -1, 1, 0)",1,365.0
72,"(0, 1, 4, 22)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
73,"(0, 1, 4, 23)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 1, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
74,"(0, 1, 4, 24)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 1, 1, 1]])",1,"(0, 0, -1, 1, 0)",1,365.0
75,"(0, 1, 4, 25)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 1, 1, 0]])",1,"(0, 0, -1, 1, 0)",1,365.0
76,"(0, 1, 4, 26)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 1, 0, 1]])",1,"(0, 0, 0, 1, 0)",1,369.0
77,"(0, 1, 4, 27)","Matrix([[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 0, 1, 1]])",1,"(0, 0, 1, 0, 0)",1,371.0
